Linc,Cm,Ofl,Tmp,Var5
0,0.75,28,0,0.74928
0,0.75,32,0,0.69316
0,0.75,36,0,0.61772
0,0.75,40,0,0.53564
0,0.75,44,0,0.45273
0,0.8,0,0,0.78117
0,0.8,0,0.24,0.23617
0,0.8,7,0,0.8574
0,0.8,14,0,0.82129
0,0.8,21,0,0.78989
0,0.8,28,0,0.73988
0,0.9,0,0,0.73913
0,0.9,0,0.27,0.18755
0,0.9,7,0,0.83458
0,0.9,14,0,0.78817
0,0.9,21,0,0.76207
0,0.9,28,0,0.72345
0,1,0,0,0.69736
0,1,0,0.03,0.71885
0,1,0,0.06,0.64744
0,1,0,0.09,0.54382
0,1,0,0.12,0.46737
0,1,0,0.15,0.40197
0,1,0,0.18,0.35327
0,1,0,0.21,0.28657
0,1,0,0.24,0.21713
0,1,0,0.27,0.19767
0,1,0,0.3,0.16883
0,1,0,0.33,0.13143
0,1,4,0,0.72297
0,1,7,0,0.74089
0,1,8,0,0.74686
0,1,12,0,0.7522
0,1,14,0,0.75424
0,1,16,0,0.75628
0,1,20,0,0.75803
0,1,21,0,0.75838
0,1,24,0,0.75943
0,1,28,0,0.71668
0,1,32,0,0.66347
0,1,36,0,0.59511
0,1,40,0,0.52154
0,1,44,0,0.45336
0,1.1,0,0,0.65652
0,1.1,0,0.33,0.12269
0,1.1,7,0,0.64719
0,1.1,14,0,0.72032
0,1.1,21,0,0.75469
0,1.1,28,0,0.7099
100,0,0,0,0.98864
100,0,0,0.03,0.89684
100,0,0,0.06,0.86399
100,0,0,0.09,0.7967
100,0,0,0.12,0.7845
100,0,0,0.15,0.71537
100,0,0,0.18,0.66598
100,0,0,0.21,0.61111
100,0,0,0.24,0.64141
100,0,0,0.27,0.60282
100,0,0,0.3,0.50712
100,0,0,0.33,0.49798
100,0,4,0,0.99
100,0,7,0,0.98416
100,0,8,0,0.97743
100,0,12,0,0.99
100,0,16,0,0.99
100,0,20,0,0.98917
100,0,24,0,0.97199
100,0,28,0,0.88824
100,0,32,0,0.71545
100,0,36,0,0.42766
100,0,40,0,0.12753
100,0,44,0,0.05
100,0.1,0,0,0.95582
100,0.1,7,0.03,0.86352
100,0.2,0,0,0.91432
100,0.2,7,0.06,0.80329
100,0.25,0,0,0.90045
100,0.25,4,0.03,0.84762
100,0.25,8,0.06,0.69425
100,0.25,12,0.09,0.66707
100,0.25,16,0.12,0.64012
100,0.25,20,0.15,0.53512
100,0.25,24,0.18,0.44467
100,0.25,28,0.21,0.34359
100,0.25,32,0.24,0.26705
100,0.25,36,0.27,0.16875
100,0.25,40,0.3,0.13425
100,0.25,44,0.33,0.10505
100,0.3,0,0,0.893
100,0.3,7,0.09,0.75256
100,0.4,0,0,0.89117
100,0.4,7,0.12,0.66491
100,0.5,0,0,0.87426
100,0.5,7,0.15,0.59646
100,0.6,0,0,0.84839
100,0.6,7,0.18,0.52544
100,0.7,0,0,0.81812
100,0.7,7,0.21,0.50751
100,0.8,0,0,0.80592
100,0.8,7,0.24,0.47559
100,0.9,0,0,0.79499
100,0.9,7,0.27,0.42911
100,1,0,0,0.77465
100,1,7,0.3,0.35262
100,1.1,0,0,0.73735
100,1.1,7,0.33,0.31719
200,0,0,0,0.94913
200,0,0,0.03,0.91136
200,0,0,0.06,0.86415
200,0,0,0.09,0.82945
200,0,0,0.12,0.74938
200,0,0,0.15,0.71724
200,0,0,0.18,0.68425
200,0,0,0.21,0.64274
200,0,0,0.24,0.66515
